Best parameters set found on development set:
0.6924999999999999
{'C': 0.6, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.05}

Grid scores on development set:
0.6359 (+/-0.014) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.025}
0.6414 (+/-0.005) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.05}
0.6430 (+/-0.007) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.075}
0.6359 (+/-0.014) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.025}
0.6414 (+/-0.005) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.05}
0.6430 (+/-0.007) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.075}
0.6359 (+/-0.014) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.025}
0.6414 (+/-0.005) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.05}
0.6430 (+/-0.007) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.075}
0.6359 (+/-0.014) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.025}
0.6414 (+/-0.005) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.05}
0.6430 (+/-0.007) for {'C': 0.04, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.075}
0.6359 (+/-0.014) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.025}
0.6414 (+/-0.005) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.05}
0.6430 (+/-0.007) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.075}
0.6359 (+/-0.014) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.025}
0.6414 (+/-0.005) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.05}
0.6430 (+/-0.007) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.075}
0.6359 (+/-0.014) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.025}
0.6414 (+/-0.005) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.05}
0.6430 (+/-0.007) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.075}
0.6359 (+/-0.014) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.025}
0.6414 (+/-0.005) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.05}
0.6430 (+/-0.007) for {'C': 0.04, 'decision_function_shape': 'ovo', 'degree': 6, 'gamma': 0.075}
0.6898 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.025}
0.6924 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.05}
0.6902 (+/-0.005) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.075}
0.6898 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.025}
0.6924 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.05}
0.6902 (+/-0.005) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 0.075}
0.6898 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.025}
0.6924 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.05}
0.6902 (+/-0.005) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.075}
0.6898 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.025}
0.6924 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.05}
0.6902 (+/-0.005) for {'C': 0.5, 'decision_function_shape': 'ovr', 'degree': 6, 'gamma': 0.075}
0.6898 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.025}
0.6924 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.05}
0.6902 (+/-0.005) for {'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 0, 'gamma': 0.075}
0.6898 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.025}
0.6924 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.05}
0.6902 (+/-0.005) for {'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.075}
0.6898 (+/-0.017) for {'C': 0.5, 'decision_function_shape': 'ovo', 'degree': 4, 'gamma': 0.025}
